  CURRENCY DATE = 06/19/16
                                     LATITUDE    LONGITUDE     OBSTACLE       AGL  AMSL LT ACC MAR FAA       ACTION
ORS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE           HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------
15-000060 O US HI KAHULUI          20 47 18.80N 156 27 50.87W TOWER        1 00285 00296 R 1 A P 2014AWP00003OE C 2014044 
15-020097 O US HI WAILUKU          20 47 21.81N 156 31 55.35W WINDMILL     1 00328 01229 N 5 E W 2012WTW03150OE A 2012198 
15-020398 O US HI LANAI            20 47 22.37N 156 57 01.49W POLE         1 00065 01361 U 1 A U                A 2013217 
15-000345 O US HI LANAI CITY       20 47 23.07N 156 56 04.90W TOWER        1 00220 01438 R 1 A U                C 2010292 
15-000250 O US HI LANAI CITY       20 47 23.82N 156 57 01.65W TOWER        1 00066 01346 L 1 A U                C 2010264 
15-020381 O US HI LANAI            20 47 24.69N 156 56 45.35W POLE         1 00038 01328 R 1 A U                A 2013217 
15-020382 O US HI LANAI            20 47 25.31N 156 56 51.89W FENCE        1 00009 01311 U 1 A U                A 2013217 
15-020400 O US HI LANAI            20 47 26.94N 156 56 56.78W POLE         1 00055 01361 U 1 A U                A 2013217 
15-020089 O US HI WAILUKU          20 47 27.78N 156 31 59.50W WINDMILL     1 00328 01354 N 5 E W 2012WTW03156OE C 2012199 
15-020090 O US HI WAILUKU          20 47 31.31N 156 32 02.80W WINDMILL     1 00328 01435 N 5 E W 2012WTW03612OE C 2012249 
15-020391 O US HI LANAI            20 47 32.87N 156 56 42.22W FENCE        1 00005 01327 U 1 A U                A 2013217 
